id,UserGroup,Discipline,Age,textResponse
19988151,Undergraduate: Fourth year,Math / Science / Biotech / Biology / Marine Science / Environmental Science,18 - 22,"I love the self check out app and the online web chat feature. Really my composition one and two classes with Professor Griffin taught me how to fully utilize the library. However for students that did not take composition here at FGCU might not know how to utilize the library like I do. Maybe informative emails or signage would help.
"
19996222,Undergraduate: Fourth year,Environmental Studies,18 - 22,"The students and staff who work at the library desk are very helpful and kind. I frequently come to the desk even just to talk or ask questions because the staff are so welcoming and they know me by name now. I didn’t know about all the resources the library offered until this year. Being able to rent phone chargers, laptop chargers, cameras, study rooms, and even textbooks has saved me many times. My laptop does fast and usually can’t make it through the full day of classes. And textbooks can be super expensive so these have been a huge help to be able to rent. The library database is very versatile and offers many resources for all my classes. I’ve been able to find articles and books for my papers in all disciplines. For example, I found an essay to check out online for my philosophy class. And I love to go through the environmental isle of books upstairs because they have information on everything. I became interested in falconeering which is a specified skill and they even had a book on it. The IT desk has not been very reliable. They rarely are staffed and students don’t know where to get help so they go to the library front desk where students aren’t trained to assist in their technological problems. I had an issue with logging in with duo push and it took IT services three days to figure out my issue. I appreciate the study spaces in the library. The whiteboards, study rooms, and different seating environments, as well as noise levels with each floor make it easy for me to focus and feel comfortable for many hours of studying. The only recommendation I have for that is that there are more spaces for studying. During mornings and afternoons the study rooms are always completely booked out and there isn’t much seating left. You have to get there at the off times to find a good spot, especially if you are coming with a group of people to work on a group project or something. There also should be better WiFi. Everyday that I have come to the library in this week alone, I have had to connect to my iPhone’s hotspot because the school WiFi would not load due to the mass amount of people logging on to use it. Tutoring services is great, I used them for help with chemistry 1 and the students were patient, understanding, and knowledgeable. They offer many times that make it convenient to go around my schedule. I think the library needs better promotion about the services they offer. The only reason I found out about all of this was because I had a class that taught me about library services. I wish I had known sooner than my senior year because it would have saved me a lot of trouble. One time my laptop crashed for a week and I work completely virtual so I was in desperate need of a computer and they rented me out one. The printing services are awesome because I don’t have to worry about having my own printer and the prices are cheap enough to print entire papers or research graphs. Overall, the library is doing a lot of great things but I would advocate for better IT services and more spaces to study with better WiFi. "
19986652,Undergraduate: Third year,Education,18 - 22,"I really appreciate the facilities. I think that the environment is very learning inspiring and I can focus very well in all areas of the library. My favorite space is the downstairs area with all of the cool furniture. I think the theme is also various aesthetic and makes me want to work here in the library. I appreciate the gender neutral bathrooms in the Starbucks. I also appreciate that there is a silent area dedicated to people who work better and that sort of environment. I think the study room situation works really well and how you check them out so that Group can work together. I haven’t run into any issues at the library  Recently. I have utilized resources like expo markers at the front desk, printing, and the computers downstairs. It used to be difficult for me to access books, and physical copy and still is at times. However, I think this is due to lack of materials on the subjects that I was researching, which is music related. I am a music education major. Overall, the library is my favorite place to get work done and I love that it is open until one in the morning. It’s extremely useful for getting caught up late at night. "
19988684,Undergraduate: Fourth year,Math / Science / Biotech / Biology / Marine Science / Environmental Science,18 - 22,You guys need better internet. 
19992696,Faculty: Professor,Economics,23 - 30,"Activities and lectures can be arranged regularly to organize various cultural lectures, reading club exhibitions and other activities to enrich readers' spiritual and cultural life and improve the influence of the library       
"
19988308,Undergraduate: Fourth year,Business / Golf / Resort & Hospitality,18 - 22,"As a commuter student, I use the library primarily for studying in between classes and using the databases. I believe the most useful library resource has been the library chat which I have found has helped me find good sources and direction for writing academic papers. As far as the library atmosphere, I often find it hard to find a place to sit in the peak hours from 11-3pm. I usually have to go to the third floor and even then it is hard to find seating. However, my overall experience is satisfactory. Library staff is knowledge and helpful. My recommendation would be to advertise certain resources more, I found that the classroom visits were most effective in learning about services the library offers.

"
19985282,Graduate: Doctoral,Health Professions / Social Work / Nursing / Counseling,23 - 30,"As a student worker there. I believe there are several ways to improve ourselves as a staff. We have currently been adding a lot of student workers which is great, but we have been leaving a loop hole in the training. There have been instances of student workers giving the wrong information or having difficulty with a process. I feel like we have gotten away from making sure everyone practiced the drills with a desk supervisor and practiced shelving, reading the labels, etc. by integrating this again, everyone will be able to perform the tasks and be given the same information to pass on to patrons. 

"
19988676,Undergraduate: First year,Performing & Fine Arts,18 - 22,"

I am in the library more than my own dorm. I genuinely really enjoy it here and find it very comforting and helpful. I’m easily able to get all my homework done as well as able to get the resources to get my homework done. It’s my favorite place on campus and I’m glad I can be here for as long as I am haha. I am here ALL THE TIME. Have a wonderful day!"
19987559,Undergraduate: First year,Other,18 - 22,"

-The library is a great place with great resources. I love it here!"
19985527,Undergraduate: Second year,Criminal Justice / Legal Studies / Forensics,18 - 22,"
The library is a great place to study and I enjoy using it to the best of my ability."
